step,headed_mean_Theta,unheaded_mean_Theta,headed_rms,unheaded_rms,headed_bursts,unheaded_bursts
189,3.1815144222416962,3.1598474461705295,1.035489381549594,1.071020131292996,0,0
190,3.105867695296927,3.1598625854393383,1.0198138753861694,1.0714030524774327,0,0
191,3.166778629011881,3.159877658503751,0.9926305729714249,1.0717863899278528,0,0
192,3.123337040717584,3.1598926659719857,0.981047026263268,1.072170141727754,0,0
193,3.149780323131439,3.1599076084496454,0.9720218594510546,1.0725543059567881,0,0
194,3.1407013787486697,3.1599224865396813,0.9721047334215501,1.0729388806908002,0,0
195,3.1357737996674904,3.1599373008423584,0.9795565305422635,1.07332386400187,0,0
196,3.152982373529563,3.1599520519552224,0.9952382461953089,1.0737092539583535,0,0
197,3.1265730162732694,3.1599667404730654,1.0143734560292514,1.0740950486249272,0,0
198,3.1598698459892205,3.159981366987895,1.0443015554910584,1.0744812460626336,0,0
199,3.121511715150973,3.1599959320888993,1.0698155119783368,1.0748678443289263,0,0
200,3.163911349736138,3.1600104363624166,1.108346764562579,1.0752548414777217,0,0
201,3.1176574623657545,3.160024880391905,1.1355671395480276,1.0756422355594437,0,0
202,3.168305944762821,3.160039264757908,1.1755187313206703,1.076030024621079,0,0
203,3.1128412007485573,3.16005359003803,1.1993412714305662,1.0764182067062262,0,0
204,3.174126538608347,3.1600678568068985,1.2334362315800695,1.076806779855151,0,0
205,3.1066647001583143,3.160082065636143,1.2494024002938418,1.0771957421048401,0,0
206,3.181064656174756,3.160096217094362,1.2693723159351022,1.0775850914890575,0,0
207,3.0999098070609072,3.160110311747095,1.2741505488514089,1.077974826038401,0,0
208,3.1870718378429177,3.1601243501567935,1.271332149882187,1.0783649437803609,0,0
209,3.0948997724138017,3.1601383328827986,1.2645286918060406,1.0787554427393786,0,0
210,3.1901160648502986,3.1601522604813077,1.2369322730960242,1.0791463209369083,0,0
211,3.092596591327957,3.160166133505353,1.2215948349198018,1.0795375763914774,0,0
212,3.1911508685220653,3.160179952504773,1.1782617175247272,1.0799292071187487,0,0
213,3.0920828960964606,3.160193718026191,1.1602891902443127,1.0803212111315845,0,0
214,3.190251998339788,3.1602074306129837,1.1175651285007597,1.0807135864401103,0,0
215,3.0935903693042808,3.160221090805264,1.1017394831122578,1.0811063310517803,0,0
216,3.186758562258643,3.1602346991398513,1.0657149013051521,1.0814994429714435,0,0
217,3.098587998423636,3.1602482561502527,1.050767263293027,1.08189292020141,0,0
218,3.176635423592666,3.160261762366638,1.017609500025688,1.0822867607415194,0,0
219,3.1119954392612588,3.160275218315816,1.0024130215014455,1.0826809625892082,0,0
220,3.160240520428895,3.160288624521216,0.9815860919044462,1.08307552373958,0,0
221,3.1303331889776653,3.160301981502862,0.9737648813410633,1.0834704421854744,0,0
222,3.1439363481107616,3.160315289777357,0.9715441061262774,1.0838657159175376,0,0
223,3.1460468612197103,3.1603285498578573,0.9772606253279432,1.0842613429242935,0,0
224,3.13170570916351,3.160341762254056,0.9897764343732125,1.0846573211922153,0,0
225,3.156162392305085,3.160354927472163,1.0113998845914716,1.0850536487057976,0,0
226,3.124286650979831,3.160368046014883,1.033495466523207,1.0854503234476283,0,0
227,3.1615250643356227,3.160381118381403,1.0674525745554955,1.0858473433984628,0,0
228,3.120076802520417,3.160394145067366,1.0942240916217303,1.0862447065372964,0,0
229,3.1654400119748427,3.1604071265648592,1.1341554950363988,1.0866424108414388,0,0
230,3.1159885033034187,3.160420063362397,1.160658846281366,1.0870404542865872,0,0
231,3.1703373422402663,3.1604329559449,1.1992691371640805,1.0874388348469033,0,0
232,3.1106437684991346,3.160445804793683,1.2205840759987303,1.0878375504950846,0,0
233,3.1766906767673633,3.160458610386437,1.250388823975018,1.0882365992024423,0,0
234,3.10407399631859,3.160471373197213,1.2624036937495609,1.0886359789389746,0,0
